,max_degree,mean_degree,median_degree,nodes,betweenness_centrality
1,16302,2.404631547795206,1.0,13516,0.0700897177676477
2,13,9.5,9.5,2,0.00021349885987065076
3,48475,64.0321605527524,19.0,87996,0.27505625134485767
4,1116,94.89095744680851,54.0,1128,7.83433815853706e-05
5,940,82.67655786350149,43.0,337,0.00171285315569625
6,1060,28.87892049598833,14.0,1371,0.0032665785710398036
7,5,4.5,4.5,2,0.0
8,1466,54.41109595270578,25.0,2199,0.004041552838473698
9,173,43.329896907216494,33.0,97,0.001491716880974207
10,580,64.73333333333333,35.0,450,0.00031420477461403676
11,131,34.891304347826086,25.5,46,0.0005509636769148636
12,8467,72.50645188496247,28.0,11857,0.02822887184756318
13,86,27.333333333333332,26.0,27,0.0001490187480182846
14,407,58.75111111111111,37.0,225,0.000686687122787996
15,4503,52.00857142857143,24.0,2100,0.01029446077807616
16,5,4.5,4.5,2,0.0
17,2035,66.84379785604901,30.0,7183,0.00833601874590812
18,3907,70.5689108910891,27.0,5050,0.00638765971871283
19,80,27.294117647058822,28.0,17,9.383795376072393e-05
20,282,55.56470588235294,33.0,85,0.0021436655485456185
21,12,6.666666666666667,6.0,3,0.0002713221107281348
22,280,83.6923076923077,65.0,143,0.00024068178922402887
23,2115,50.34712889431888,18.0,6548,0.01581008070141335
24,865,14.345245305875228,6.0,1651,0.008815169512703063
25,684,37.869,20.0,1000,0.009661838006161265
26,516,52.709030100334445,28.0,299,0.0005912978598196894
27,8,4.5,4.5,2,0.000920215345317403
28,13546,70.30143912874368,27.0,10284,0.0126685607218516
29,10,7.0,7.0,2,0.0
30,1490,61.89524838012959,30.0,926,0.001213010297344863
31,84,18.27777777777778,14.5,72,0.002577187523953107
32,27,9.7,7.0,10,0.0018201431275196194
33,203,3.9876543209876543,1.0,81,0.0017398938689112578
34,4929,78.10328567082446,27.0,13148,0.012196878037103879
35,6,5.0,5.0,2,0.0
36,32,17.2,15.0,5,0.0
37,43,19.41176470588235,18.0,17,4.370668082519753e-07
38,9,7.0,7.0,2,0.0
39,7,5.5,5.5,2,0.0
40,5,4.0,4.0,2,0.00035612658198799795
41,7,4.5,4.5,2,0.0007836122230442579
42,700,75.48498694516971,44.0,1532,0.001494911075680658
43,28112,75.4412839523525,27.0,56918,0.04835789141850888
44,7,6.333333333333333,6.0,3,0.0
45,13,7.5,7.5,2,0.0007199257678743626
46,12,10.0,11.0,3,0.0
47,4,4.0,4.0,2,0.0
48,8,6.666666666666667,6.0,3,0.0
49,45349,87.24609103141094,20.0,21553,0.19862152762149296
50,7,4.333333333333333,4.0,3,0.0
51,1848,13.423051299133911,5.0,1501,0.03523138599095468
52,4,4.0,4.0,2,0.0
53,4,3.5,3.5,2,0.0
54,3,2.5,2.5,2,0.0
55,6756,111.17529828241773,48.0,15254,0.1167120431018561
56,51388,70.257698541329,23.0,70338,0.24028285604679153
57,8,7.333333333333333,8.0,3,0.0
58,201,34.8421052631579,24.0,38,0.0013663936683850067
59,8,6.333333333333333,6.0,3,0.0
60,1280,75.21488230827639,38.0,1317,0.0023664170058606544
61,7,6.0,6.0,3,0.0
62,12,11.333333333333334,11.0,3,0.0
63,5,4.0,4.0,2,0.0
64,6,4.5,4.5,2,0.0
65,9,7.0,7.0,2,0.0
66,2099,94.36293555349985,43.0,3243,0.004461101218195753
67,1528,50.16975425330813,23.0,2645,0.003493073011053863
68,15,9.6,12.0,5,3.221127662448371e-07
69,1324,27.763707395931565,11.0,7423,0.06653874926610591
70,9,7.0,7.0,2,0.0
71,188,28.435897435897434,22.0,78,0.0011295097273915453
72,5435,43.4144104529179,17.0,15919,0.02304928874859632
73,123,38.490566037735846,32.0,53,0.0027817899095105157
74,13,8.333333333333334,8.0,6,0.0001059357443597835
75,8,6.0,6.0,2,0.0
76,212,47.15533980582524,35.5,206,0.002737779721560492
77,400,40.72240802675585,26.0,299,0.0005887679377642957
78,252,22.716535433070867,11.0,127,0.0060737305587500595
79,4,4.0,4.0,2,0.0
80,28,5.875,3.0,8,0.007036976524284747
81,478,43.7375,19.0,720,0.0026544116050538557
82,288,59.87179487179487,50.0,117,0.00130710474363233
83,661,78.8739946380697,46.0,746,0.0009847330329789542
84,351,32.14772727272727,17.0,264,0.00145851342131609
85,242,54.992592592592594,45.0,135,0.0055045240797551185
86,7,5.0,5.0,2,0.0011476100193199643
87,11,5.0,2.0,3,0.00019105257888241904
88,4,4.0,4.0,2,0.0
89,307,44.55281690140845,28.5,284,0.00032661464507742727
90,868,52.39349112426036,26.0,1014,0.0010518640601582378
91,4,3.5,3.5,2,0.0
92,8,5.5,5.5,2,3.546491480994026e-05
93,29,16.4,17.0,10,0.0005468969964227744
94,99,31.323809523809523,27.0,105,0.001189845276559308
95,5,4.5,4.5,2,0.0
96,421,35.450450450450454,18.0,555,0.0026646667246132184
97,5,4.0,4.0,2,0.0
98,209,48.629893238434164,37.0,281,0.000677615577868151
99,7,5.5,5.5,2,0.0007787051034924223
100,7,5.333333333333333,6.0,3,0.0
101,14,9.0,8.0,5,1.712418563152358e-05
102,3453,103.18866009280742,43.0,6896,0.007997069048360044
103,4,3.5,3.5,2,0.0
104,3091,164.3345029239766,63.0,1710,0.013194361367401064
105,834,62.89510985116938,26.0,1411,0.005021426727329975
106,9,7.666666666666667,9.0,3,0.0
107,4,3.0,3.0,2,0.002811477269760399
108,5,4.0,5.0,3,0.0
109,255,141.1206896551724,152.5,116,0.00012184038647640131
110,7,5.5,5.5,2,0.0
111,3,2.5,2.5,2,0.0009434856258201776
112,15,7.666666666666667,6.0,3,0.00010629328066589808
113,363,67.25081433224756,45.0,307,3.498233791146203e-05
114,6,4.5,4.5,2,0.0
115,8,7.0,7.0,2,0.0
116,8,5.333333333333333,4.0,3,0.0
117,2068,93.82026370575988,40.0,1441,0.01527718468135431
118,8,6.333333333333333,7.0,3,0.0
119,6,5.5,5.5,2,0.0
120,15671,54.024889330562836,20.0,22138,0.08927756284179057
121,7,5.5,5.5,2,0.0
122,7,4.5,4.5,2,0.0
123,5,5.0,5.0,2,0.0
124,8,7.0,7.0,2,0.0
125,10,5.0,3.5,4,0.000504605939160673
126,8,5.666666666666667,7.0,3,0.0
127,5965,35.398719615884765,14.0,19994,0.05122088437131678
128,6,5.5,5.5,2,0.0
129,5,4.5,4.5,2,0.0
130,15,7.0,5.0,5,9.690138725195218e-05
131,285,40.180281690140845,23.0,355,0.0007107878270656452
132,4,3.0,3.0,2,0.0
133,15,8.666666666666666,6.0,3,0.0
134,6,4.5,4.5,2,0.0
135,5,4.0,4.0,2,0.00023521789699124267
136,5,3.5,3.5,2,0.0
137,24,11.8,10.0,5,0.0
138,6,5.5,5.5,2,0.0
139,11,6.333333333333333,4.0,3,0.0
140,12,10.25,10.5,4,0.0
141,1397,113.04727921498662,59.0,1121,0.010579816832254247
142,6,4.0,3.0,3,4.98145699524103e-05
143,3,2.5,2.5,2,0.0010942333448407786
144,25,12.714285714285714,13.0,7,7.890058167383769e-06
