,community1,community2,edges
0,1,3,1009
1,1,49,289
2,1,55,743
3,1,127,182
4,1,120,151
5,1,56,461
6,1,102,57
7,1,23,143
8,1,5,5
9,1,28,143
10,1,17,189
11,1,12,201
12,1,8,22
13,1,15,27
14,1,43,257
15,1,66,26
16,1,25,6
17,1,1254,34
18,1,42,14
19,1,4,15
20,1,51,24
21,1,60,30
22,1,83,11
23,1,105,15
24,1,34,185
25,1,117,15
26,1,175,20
27,1,141,7
28,1,26,7
29,1,399,8
30,1,67,26
31,1,90,16
32,1,69,233
33,1,104,24
34,1,801,15
35,1,18,45
36,1,30,10
37,1,599,11
38,1,72,184
39,1,10,7
40,1,27,1
41,1,177,4
42,1,98,5
43,1,131,6
44,1,466,7
45,1,6,12
46,1,172,3
47,1,664,51
48,1,445,8
49,1,73,1
50,1,71,4
51,1,31,3
52,1,81,8
53,1,24,32
54,1,113,4
55,1,784,15
56,1,20,6
57,1,77,5
58,1,1590,137
59,1,80,1
60,1,22,3
61,1,2154,1
62,1,158,1
63,1,1822,1
64,1,1308,2
65,1,89,2
66,1,428,2
67,1,84,1
68,1,1996,2
69,1,14,3
70,1,313,3
71,1,160,3
72,1,50,1
73,1,1081,3
74,1,197,4
75,1,82,1
76,1,143,1
77,1,441,4
78,1,2279,1
79,1,633,42
80,1,1411,1
81,1,2206,1
82,1,1476,1
83,1,269,2
84,1,226,1
85,1,2526,1
86,1,251,1
87,1,258,1
88,1,206,3
89,1,76,8
90,1,9,1
91,1,96,5
92,1,2027,1
93,1,344,1
94,1,345,1
95,1,199,1
96,1,758,1
97,1,372,1
98,1,978,1
99,1,375,1
100,1,94,2
101,1,377,1
102,1,32,1
103,1,418,1
104,1,430,1
105,1,2004,1
106,1,1427,1
107,1,328,1
108,1,585,1
109,1,2596,4
110,1,1224,1
111,1,142,1
112,1,519,1
113,1,527,1
114,1,545,1
115,1,2194,1
116,1,2057,1
117,1,722,1
118,1,1434,1
119,1,2594,1
120,1,2016,1
121,1,732,1
122,1,237,4
123,1,748,1
124,1,568,1
125,1,793,1
126,1,916,1
127,1,2356,3
128,1,854,1
129,1,2410,1
130,1,2449,1
131,1,1680,2
132,1,2046,1
133,1,1010,1
134,1,1016,1
135,1,1021,1
136,1,1043,1
137,1,1962,1
138,1,1051,1
139,1,1054,1
140,1,1073,1
141,1,2202,1
142,1,1097,1
143,1,1017,3
144,1,1136,1
145,1,2574,1
146,1,2615,1
147,1,1172,1
148,1,1188,1
149,1,2535,1
150,1,1210,1
151,1,1220,1
152,1,1234,1
153,1,1487,1
154,1,1245,1
155,1,1041,1
156,1,339,1
157,1,1289,1
158,1,1817,1
159,1,1382,1
160,1,1453,1
161,1,1827,1
162,1,1477,1
163,1,1579,1
164,1,1317,1
165,1,1547,1
166,1,1572,1
167,1,1561,1
168,1,2554,1
169,1,1617,1
170,1,1625,1
171,1,1698,1
172,1,1947,1
173,1,2624,1
174,1,1715,1
175,1,1722,1
176,1,1726,1
177,1,1727,1
178,1,1757,1
179,1,1781,1
180,1,1807,1
181,1,1828,1
182,1,1846,1
183,1,255,1
184,1,416,1
185,1,1945,1
186,1,2350,1
187,1,2635,1
188,1,2584,3
189,1,1961,1
190,1,1980,1
191,1,2255,5
192,1,2263,1
193,1,2397,1
194,1,2060,1
195,1,182,1
196,1,2234,1
197,1,2129,1
198,1,463,1
199,1,2141,1
200,1,2149,1
201,1,2389,1
202,1,2072,1
203,1,2168,1
204,1,2169,1
205,1,2188,1
206,1,1101,1
207,1,2236,1
208,1,2216,1
209,1,2317,1
210,1,2262,1
211,1,2266,1
212,1,2276,1
213,1,2295,1
214,1,2302,1
215,1,2308,1
216,1,2544,1
217,1,1119,1
218,1,2144,1
219,1,911,1
220,1,2368,1
221,1,687,1
222,1,2524,1
223,1,2402,1
224,1,2425,1
225,1,2484,1
226,1,2393,1
227,1,2398,1
228,1,2405,1
229,1,2411,1
230,1,1917,1
231,1,2416,1
232,1,85,1
233,1,1394,1
234,1,2475,1
235,1,776,1
236,1,1679,1
237,1,2494,1
238,1,2639,1
239,1,2502,1
240,1,2559,1
241,1,603,1
242,1,2518,1
243,1,2533,1
244,1,2545,1
245,1,2555,1
246,1,2556,1
247,1,2566,1
248,1,2625,1
249,1,2595,1
250,1,2200,1
251,1,2640,2
252,1,2608,1
253,1,252,1
254,1,2633,1
255,3,43,78417
256,3,49,317877
257,3,120,63429
258,3,104,25403
259,3,56,516718
260,3,28,77037
261,3,10,6078
262,3,5,6136
263,3,23,24524
264,3,12,52127
265,3,17,37801
266,3,66,29570
267,3,90,6600
268,3,445,4067
269,3,4,15004
270,3,102,81223
271,3,55,306360
272,3,60,13447
273,3,127,35125
274,3,8,19191
275,3,34,48236
276,3,175,17932
277,3,72,18466
278,3,466,1986
279,3,399,9295
280,3,15,13207
281,3,117,21800
282,3,69,8719
283,3,89,1917
284,3,1254,16429
285,3,22,960
286,3,18,15241
287,3,26,3422
288,3,83,7042
289,3,6,9675
290,3,638,455
291,3,82,1357
292,3,141,22763
293,3,664,16962
294,3,131,3084
295,3,177,1037
296,3,67,6842
297,3,197,1175
298,3,42,5617
299,3,105,7300
300,3,113,1977
301,3,25,5319
302,3,441,938
303,3,299,12
304,3,81,4761
305,3,76,1715
306,3,599,5144
307,3,24,3402
308,3,158,2481
309,3,14,2238
310,3,51,2481
311,3,498,1032
312,3,30,4628
313,3,85,1238
314,3,801,1655
315,3,313,799
316,3,206,1860
317,3,784,2020
318,3,164,3
319,3,98,2445
320,3,58,146
321,3,84,820
322,3,20,429
323,3,1081,178
324,3,94,711
325,3,633,1249
326,3,382,3
327,3,172,1128
328,3,109,226
329,3,246,1
330,3,7,4
331,3,96,1889
332,3,74,6
333,3,1590,532
334,3,78,951
335,3,747,5
336,3,11,329
337,3,269,534
338,3,73,439
339,3,2573,2
340,3,13,66
341,3,204,37
342,3,257,40
343,3,1476,2
344,3,437,3
345,3,393,20
346,3,31,278
347,3,471,3
348,3,19,116
349,3,428,603
350,3,77,1073
351,3,71,507
352,3,171,770
353,3,2052,59
354,3,469,23
355,3,1508,87
356,3,1273,61
357,3,80,1
358,3,722,27
359,3,52,4
360,3,1822,7
361,3,978,165
362,3,1448,2
363,3,203,43
364,3,346,8
365,3,2291,1
366,3,975,3
367,3,362,19
368,3,305,5
369,3,187,3
370,3,37,114
371,3,1165,10
372,3,1192,2
373,3,221,6
374,3,397,10
375,3,1531,12
376,3,714,14
377,3,133,5
378,3,1886,2
379,3,1446,4
380,3,524,4
381,3,2137,7
382,3,191,4
383,3,1696,12
384,3,274,10
385,3,9,118
386,3,182,12
387,3,380,1
388,3,185,4
389,3,213,10
390,3,173,5
391,3,137,11
392,3,573,3
393,3,1092,5
394,3,336,6
395,3,160,178
396,3,1219,17
397,3,1806,8
398,3,364,4
399,3,32,13
400,3,1102,12
401,3,249,12
402,3,16,1
403,3,486,19
404,3,500,2
405,3,70,3
406,3,110,2
407,3,634,5
408,3,567,4
409,3,237,124
410,3,2,7
411,3,1996,31
412,3,516,11
413,3,97,3
414,3,1308,104
415,3,1101,20
416,3,2512,3
417,3,617,28
418,3,21,2
419,3,968,2
420,3,286,9
421,3,33,62
422,3,231,2
423,3,1527,10
424,3,41,1
425,3,140,15
426,3,1680,30
427,3,737,2
428,3,1821,2
429,3,38,4
430,3,2156,16
431,3,248,3
432,3,723,2
433,3,250,7
434,3,64,2
435,3,2049,8
436,3,201,12
437,3,1117,4
438,3,620,3
439,3,36,28
440,3,1255,4
441,3,112,6
442,3,836,2
443,3,771,2
444,3,39,4
445,3,995,5
446,3,40,3
447,3,170,16
448,3,154,2
449,3,159,64
450,3,790,50
451,3,1857,1
